,0,1,2,3,4,5,6,7,class
25,-0.035172749,0.026957802,-0.086818606,-0.036537915,-0.130697578,-0.046844736,0.026621504,0.098787196,down
26,-0.028403806,0.02197504,-0.0927037,-0.050787363,-0.135594636,-0.032259058,0.007782081,0.095783904,down
27,-0.027177392,0.018149719,-0.095814258,-0.059068259,-0.140432462,-0.027078221,0.005792568,0.101391949,down
28,-0.022268718,0.034249347,-0.098358855,-0.049691848,-0.149118155,-0.027799377,-0.007822064,0.094905093,down
29,-0.017370576,0.054773979,-0.088395216,-0.026411982,-0.145651907,-0.03398785,-0.008244373,0.084908329,down
30,-0.019260013,0.066082247,-0.079402015,-0.005253922,-0.140159264,-0.047238771,-0.00509188,0.073965229,down
31,-0.033671793,0.054736916,-0.077663772,1.34e-05,-0.128122553,-0.061033007,0.015273659,0.07313697,down
32,-0.043062754,0.053482018,-0.053568725,0.028050097,-0.09959852,-0.075102061,0.04059479,0.05955781,down
33,-0.065752909,0.031278633,-0.044503894,0.036990169,-0.074100085,-0.095276386,0.068952948,0.051710486,down
34,-0.073918775,0.021732457,-0.024592405,0.056811083,-0.053323314,-0.108801536,0.070104532,0.024968611,down
35,-0.081815548,0.00284515,0.022582512,0.097293474,-0.03406826,-0.148310706,0.076861732,-0.021233661,down
36,-0.080214135,-0.00171687,0.029999129,0.099853687,-0.023041639,-0.145770758,0.076386593,-0.030777978,down
37,-0.083597466,-0.012299342,0.035289716,0.098735221,-0.018898539,-0.15250589,0.080684833,-0.03527195,down
38,-0.083927743,-0.010114459,0.018689021,0.083008841,-0.019256881,-0.136170447,0.073505491,-0.023196418,down
39,-0.069423914,0.018176015,0.018625475,0.09335003,-0.039347298,-0.130320147,0.069030732,-0.006881629,down
40,-0.055102758,0.027061228,0.010165609,0.078969382,-0.047586001,-0.11218106,0.06407357,0.009845694,down
41,-0.052870777,0.048597049,-0.039659161,0.044763938,-0.079955228,-0.086135164,0.047395404,0.041581586,down
42,-0.016068598,0.076944254,-0.047892079,0.027479552,-0.106647752,-0.056194268,0.027790884,0.068738997,down
43,-0.011653818,0.075094908,-0.063285582,0.010646686,-0.121125333,-0.048587546,0.012039239,0.07244464,down
44,-0.018648669,0.067528307,-0.065507136,0.007928169,-0.11784175,-0.049740903,0.012513547,0.069002599,down
45,-0.035195485,0.018968252,-0.063705988,-0.02197936,-0.095535994,-0.050139923,0.023636509,0.061514955,down
46,-0.048180535,0.009472879,-0.065958321,-0.021738186,-0.091292582,-0.06096454,0.044633493,0.069978714,down
47,-0.054135904,0.002268697,-0.056184523,-0.01374411,-0.079320453,-0.070642546,0.055594649,0.063894525,down
48,-0.068100698,-0.000929508,-0.037369847,0.018041486,-0.063213214,-0.10063237,0.072462112,0.041278843,down
49,-0.077828385,-0.003679883,-0.03810861,0.024458069,-0.055355832,-0.106370471,0.075909033,0.033459663,down
50,-0.083491564,-0.025649495,-0.033881374,0.014298498,-0.042853422,-0.111970879,0.091757275,0.033898715,down
51,-0.087844275,-0.032283686,-0.041146815,0.005060637,-0.037220016,-0.105347872,0.094726339,0.037780747,down
52,-0.08581046,-0.029373322,-0.04846314,-0.003002517,-0.048527062,-0.103911385,0.097371459,0.052419242,down
